,symbol,sector,longName
451,5519.TW,Industrials,LongDa Construction & Development Corporation
452,5521.TW,Industrials,Kung Sing Engineering Corporation
453,5522.TW,Real Estate,"Farglory Land Development Co., Ltd."
454,5525.TW,Real Estate,"Sweeten Real Estate Development Co.,Ltd."
455,5531.TW,Real Estate,"Shining Building Business Co.,Ltd."
456,5533.TW,Real Estate,"Founding Construction & Development Co., Ltd."
457,5534.TW,Real Estate,"Chong Hong Construction Co., Ltd."
458,9946.TW,Real Estate,San Far Property Limited
459,2603.TW,Industrials,Evergreen Marine Corporation (Taiwan) Ltd.
460,2605.TW,Industrials,Sincere Navigation Corporation
461,2606.TW,Industrials,U-Ming Marine Transport Corporation
462,2607.TW,Industrials,Evergreen International Storage & Transport Corporation
463,2608.TW,Industrials,Kerry TJ Logistics Company Limited
464,2609.TW,Industrials,Yang Ming Marine Transport Corporation
465,2610.TW,Industrials,"China Airlines, Ltd."
466,2617.TW,Industrials,"Taiwan Navigation Co., Ltd."
467,2618.TW,Industrials,EVA Airways Corp.
468,2634.TW,Industrials,Aerospace Industrial Development Corporation
469,2637.TW,Industrials,"Wisdom Marine Lines Co., Limited"
470,5607.TW,Industrials,"Farglory Free Trade Zone Investment Holding Co., Ltd"
471,5608.TW,Industrials,"Shih Wei Navigation Co., Ltd."
472,2701.TW,Real Estate,Wanhwa Enterprise Company
473,2705.TW,Consumer Cyclical,"Leofoo Development Co., Ltd."
474,2706.TW,Consumer Cyclical,First Hotel Company Ltd.
475,2707.TW,Consumer Cyclical,Formosa International Hotels Corporation
476,2723.TW,Consumer Cyclical,Gourmet Master Co. Ltd.
477,2727.TW,Consumer Cyclical,Wowprime Corp.
478,2731.TW,Consumer Cyclical,"Lion Travel Service Co., Ltd."
479,5706.TW,Consumer Cyclical,"Phoenix Tours International, Inc."
480,8462.TW,Consumer Cyclical,Power Wind Health Industry Incorporated
481,9943.TW,Consumer Cyclical,"Holiday Entertainment Co.,Ltd"
482,2801.TW,Financial Services,"Chang Hwa Commercial Bank, Ltd."
483,2809.TW,Financial Services,King's Town Bank
484,2812.TW,Financial Services,"Taichung Commercial Bank Co., Ltd."
485,2816.TW,Financial Services,"Union Insurance Co., Ltd."
486,2820.TW,Financial Services,China Bills Finance Corporation
487,2834.TW,Financial Services,"Taiwan Business Bank,Ltd."
488,2836.TW,Financial Services,"Bank of Kaohsiung Co., Ltd."
489,2838.TW,Financial Services,Union Bank of Taiwan
490,2845.TW,Financial Services,Far Eastern International Bank Ltd.
491,2849.TW,Financial Services,"EnTie Commercial Bank Co., Ltd."
492,2850.TW,Financial Services,"Shinkong Insurance Co., Ltd."
493,2852.TW,Financial Services,"The First Insurance Co., Ltd."
494,2855.TW,Financial Services,President Securities Corporation
495,2867.TW,Financial Services,"Mercuries Life Insurance Co., Ltd."
496,2880.TW,Financial Services,"Hua Nan Financial Holdings Co., Ltd."
497,2881.TW,Financial Services,"Fubon Financial Holding Co., Ltd."
498,2882.TW,Financial Services,"Cathay Financial Holding Co., Ltd."
